"V1" "V2" "V3" "v4" "V5" "V6"
15.15 2.19 14 5944 606 2314
18.2 2.79 26 2868 517 1601
16.4 2.78 24 3465 418 1461
17.33 3.07 31 2261 451 1279
14.92 1.78 10 7008 832 3187
19.31 2.53 36 2308 456 1254
15.03 2.18 21 3283 399 1528
15.98 2.97 28 2670 521 1388
17.34 2.86 15 5916 571 2464
18.04 2.55 31 4988 428 1337
18.54 1.59 15 5444 652 2637
17.03 2.21 38 1887 363 1046
16.04 2.51 29 2607 280 2112
18.9 2.59 31 2270 456 1422
17.34 2.31 20 3468 506 1845
18.6 2.47 30 2622 502 1443
15.07 2.62 26 3120 388 1233
19.27 2.32 24 3012 534 1868
18.17 3.13 22 3603 527 1756
15.75 3.28 32 2436 280 1136
13 1.08 13 4537 600 2161
17.83 1.5 25 2916 454 1646
17.58 2.59 22 4424 476 1721
